,gnp_old,government_form
0,793.0,Nonmetropolitan Territory of The Netherlands
1,,Islamic Emirate
2,7984.0,Republic
3,,Dependent Territory of the uK
4,2500.0,Republic
5,,Parliamentary Coprincipality
6,,Nonmetropolitan Territory of The Netherlands
7,36846.0,Emirate Federation
8,323310.0,Federal Republic
9,1627.0,Republic
10,,uS Territory
11,,Co-administrated
12,,Nonmetropolitan Territory of France
13,584.0,Constitutional Monarchy
14,392911.0,"Constitutional Monarchy, Federation"
15,206025.0,Federal Republic
16,4100.0,Federal Republic
17,982.0,Republic
18,243948.0,"Constitutional Monarchy, Federation"
19,2141.0,Republic
20,2201.0,Republic
21,31966.0,Republic
22,10169.0,Republic
23,6097.0,Monarchy (Emirate)
24,3347.0,Constitutional Monarchy
25,,Federal Republic
26,,Republic
27,616.0,Constitutional Monarchy
28,2190.0,Dependent Territory of the uK
29,7967.0,Republic
30,804108.0,Federal Republic
31,2186.0,Constitutional Monarchy
32,12460.0,Monarchy (Sultanate)
33,383.0,Monarchy
34,,Dependent Territory of Norway
35,4935.0,Republic
36,993.0,Republic
37,625626.0,"Constitutional Monarchy, Federation"
38,,Territory of Australia
39,256092.0,Federation
40,75780.0,Republic
41,917719.0,People'sRepublic
42,10285.0,Republic
43,8596.0,Republic
44,2474.0,Republic
45,2287.0,Republic
46,,Nonmetropolitan Territory of New Zealand
47,105116.0,Republic
48,4361.0,Republic
49,420.0,Republic
50,9757.0,Republic
51,18862.0,Socialistic Republic
52,,Territory of Australia
53,1186.0,Dependent Territory of the uK
54,8246.0,Republic
55,52037.0,Republic
56,2102826.0,Federal Republic
57,373.0,Republic
58,243.0,Republic
59,169264.0,Constitutional Monarchy
60,15076.0,Republic
61,46966.0,Republic
62,19769.0,Republic
63,75617.0,Republic
64,755.0,Republic
65,,Occupied by Marocco
66,532031.0,Constitutional Monarchy
67,3371.0,Republic
68,6180.0,Republic
69,119833.0,Republic
70,2149.0,Republic
71,,Dependent Territory of the uK
72,1392448.0,Republic
73,,Part of Denmark
74,,Federal Republic
75,5279.0,Republic
76,1296830.0,Constitutional Monarchy
77,5924.0,Republic
78,6884.0,Republic
79,,Dependent Territory of the uK
80,2383.0,Republic
81,,Overseas Department of France
82,325.0,Republic
83,272.0,Republic
84,542.0,Republic
85,119946.0,Republic
86,,Constitutional Monarchy
87,,Part of Denmark
88,17797.0,Republic
89,,Overseas Department of France
90,1136.0,uS Territory
91,743.0,Republic
92,173610.0,Special Administrative Region of China
93,,Territory of Australia
94,4697.0,Republic
95,19300.0,Republic
96,3107.0,Republic
97,45914.0,Republic
98,215002.0,Republic
99,430572.0,Federal Republic
